Posição;NDCG
1;0.6439393939393939
2;0.016998003096591233
3;0.010116607538979524
4;0.008440172523722126
5;0.007831431962974434
6;0.007468953396242355
7;0.007224921554671977
8;0.007070599877786224
9;0.006960748108628781
10;0.006874934702762608
