Consultas;R-precision
1;0.11764705882352941
2;0.2857142857142857
3;0.11627906976744186
4;0.0
5;0.183206106870229
6;0.16666666666666666
7;0.17857142857142858
8;0.09090909090909091
9;0.3
10;0.32
11;0.45454545454545453
12;0.0
13;0.20833333333333334
14;0.18181818181818182
15;0.10576923076923077
16;0.18888888888888888
17;0.10909090909090909
18;0.3333333333333333
19;0.0
20;0.2391304347826087
21;0.16
22;0.12857142857142856
23;0.08571428571428572
24;0.03225806451612903
25;0.21568627450980393
26;0.15151515151515152
27;0.18181818181818182
28;0.19607843137254902
29;0.11363636363636363
30;0.23529411764705882
31;0.13793103448275862
32;0.1
33;0.40350877192982454
34;0.28205128205128205
35;0.14285714285714285
36;0.2222222222222222
37;0.32653061224489793
38;0.07547169811320754
39;0.2654320987654321
40;0.14383561643835616
41;0.2
42;0.1702127659574468
43;0.24489795918367346
44;0.37142857142857144
45;0.1
46;0.2222222222222222
47;0.08333333333333333
48;0.16666666666666666
49;0.3333333333333333
50;0.2
51;0.3236514522821577
52;0.5
53;0.2608695652173913
54;0.3064516129032258
55;0.08333333333333333
56;0.125
57;0.5294117647058824
58;0.29473684210526313
59;0.2482758620689655
60;0.08823529411764706
61;0.22857142857142856
62;0.1736111111111111
63;0.10256410256410256
64;0.16
65;0.2127659574468085
66;0.15873015873015872
67;0.07142857142857142
68;0.06666666666666667
69;0.06666666666666667
70;0.17647058823529413
71;0.16666666666666666
72;0.3076923076923077
73;0.2222222222222222
74;0.2857142857142857
75;0.2857142857142857
76;0.23529411764705882
77;0.06097560975609756
78;0.1038961038961039
79;0.06976744186046512
80;0.35294117647058826
81;0.14285714285714285
82;0.16129032258064516
83;0.1875
84;0.5
85;0.06451612903225806
86;0.23404255319148937
87;0.15789473684210525
88;0.14285714285714285
89;0.29411764705882354
90;0.4642857142857143
91;0.19736842105263158
92;0.12605042016806722
94;0.09302325581395349
95;0.2222222222222222
96;0.16666666666666666
97;0.18181818181818182
98;0.2
99;0.6
100;0.2727272727272727
