Consulta;R_stemmer - R_nostemmer
1;0.02941176470588236
2;0.0
3;0.04651162790697676
4;0.2222222222222222
5;0.12213740458015268
6;0.0
7;0.10714285714285714
8;0.0
9;0.09999999999999998
10;-0.040000000000000036
11;0.0
12;0.0
13;0.08333333333333334
14;0.07272727272727275
15;0.09615384615384612
16;0.08333333333333334
17;-0.01818181818181816
18;0.09523809523809529
19;0.0
20;0.0
21;0.0
22;0.12857142857142856
23;-0.08571428571428572
24;0.16129032258064516
25;-0.03921568627450983
26;0.15151515151515152
27;0.0
28;0.019607843137254888
29;0.11363636363636365
30;0.0
31;0.1724137931034483
32;0.0
33;-0.017543859649122806
34;0.025641025641025605
35;0.07142857142857145
36;0.0
37;0.040816326530612235
38;0.22641509433962265
39;0.09259259259259256
40;0.03424657534246575
41;0.13333333333333336
42;0.021276595744680854
43;0.010204081632653073
44;0.1071428571428571
45;0.04999999999999999
46;0.1111111111111111
47;0.016666666666666677
48;-0.06666666666666665
49;0.055555555555555525
50;0.0
51;0.11203319502074688
52;0.0
53;-0.043478260869565244
54;-0.03225806451612906
55;0.08333333333333334
56;0.0625
57;-0.039215686274509776
58;0.05263157894736842
59;0.03448275862068967
60;0.058823529411764705
61;0.01428571428571429
62;0.06250000000000003
63;0.051282051282051294
64;0.07999999999999999
65;0.08510638297872342
66;0.047619047619047616
67;0.07142857142857142
68;0.1111111111111111
69;0.13333333333333333
70;0.05882352941176469
71;0.0
72;0.0
73;0.1111111111111111
74;0.0
75;0.0
76;0.05882352941176472
77;0.10975609756097561
78;0.19480519480519481
79;0.0697674418604651
80;0.0
81;0.10714285714285712
82;0.14516129032258066
83;0.03125
84;0.0625
85;0.0967741935483871
86;0.021276595744680882
87;-0.05263157894736842
88;0.14285714285714285
89;0.11764705882352944
90;-0.0357142857142857
91;0.029605263157894746
92;0.16806722689075632
94;0.186046511627907
95;-0.1111111111111111
96;0.08333333333333333
97;0.09090909090909094
98;0.0
99;0.0
100;0.0
