Consultas;R-precision
1;0.2647058823529412
2;0.2857142857142857
3;0.16279069767441862
4;0.2222222222222222
5;0.31297709923664124
6;0.25
7;0.21428571428571427
8;0.09090909090909091
9;0.3
10;0.36
11;0.5454545454545454
12;0.0
13;0.2916666666666667
14;0.32727272727272727
15;0.28846153846153844
16;0.32222222222222224
17;0.2
18;0.5238095238095238
19;0.045454545454545456
20;0.43478260869565216
21;0.2
22;0.2857142857142857
23;0.05714285714285714
24;0.1935483870967742
25;0.23529411764705882
26;0.30303030303030304
27;0.18181818181818182
28;0.23529411764705882
29;0.18181818181818182
30;0.23529411764705882
31;0.3103448275862069
32;0.1
33;0.47368421052631576
34;0.3333333333333333
35;0.35714285714285715
36;0.1111111111111111
37;0.5
38;0.3018867924528302
39;0.3950617283950617
40;0.2465753424657534
41;0.4
42;0.2127659574468085
43;0.336734693877551
44;0.5142857142857142
45;0.25
46;0.3333333333333333
47;0.1
48;0.2
49;0.3333333333333333
50;0.2
51;0.3941908713692946
52;0.5
53;0.2608695652173913
54;0.3225806451612903
55;0.125
56;0.1875
57;0.47058823529411764
58;0.4421052631578947
59;0.25517241379310346
60;0.11764705882352941
61;0.32857142857142857
62;0.2916666666666667
63;0.1794871794871795
64;0.22
65;0.30851063829787234
66;0.2222222222222222
67;0.2857142857142857
68;0.2222222222222222
69;0.26666666666666666
70;0.23529411764705882
71;0.3333333333333333
72;0.46153846153846156
73;0.3333333333333333
74;0.2857142857142857
75;0.42857142857142855
76;0.29411764705882354
77;0.18292682926829268
78;0.4025974025974026
79;0.23255813953488372
80;0.29411764705882354
81;0.2857142857142857
82;0.24193548387096775
83;0.25
84;0.375
85;0.16129032258064516
86;0.3191489361702128
87;0.10526315789473684
88;0.21428571428571427
89;0.35294117647058826
90;0.4642857142857143
91;0.3125
92;0.35294117647058826
94;0.32558139534883723
95;0.2222222222222222
96;0.16666666666666666
97;0.36363636363636365
98;0.2
99;0.6
100;0.2727272727272727
