Posição;NDCG
1;0.5454545454545454
2;0.004340202115063868
3;0.011249010712409881
4;0.002378870735414336
5;0.002651717381890843
6;0.003361370553221072
7;0.0010773545879025769
8;0.002822786969072104
9;0.0022994091947170373
10;0.0007231465800605086
