Posição;DCG
1;2.4646464646464645
2;6.595959595959596
3;11.70075487485593
4;18.01577877693038
5;26.31418563624799
6;36.84949419404809
7;50.33175605437138
8;67.32786329135041
9;88.77456279275285
10;115.69601500207618
