Posição;DCG
1;1.9595959595959596
2;5.242424242424242
3;9.295669932034812
4;14.3071412616886
5;20.85171522331879
6;29.20351489339897
7;39.767929145020204
8;53.205723708511805
9;70.14321345004548
10;91.3952565069813
