Revocacao;Precisao
0;0.795105880548581
0.1;0.5506883514850743
0.2;0.3984777583803795
0.3;0.3039968415563231
0.4;0.24032611840079274
0.5;0.17242118459263497
0.6;0.12676305880156022
0.7;0.10356798349828858
0.8;0.07656747839872644
0.9;0.05644324135686456
1;0.046056851732772734
